"variable","est","grad","obj","iter","convg","run_time","faboup_iter","faboup_convg","update_type","max_faboup_iter"
"theta_ou_22",6.41150024170874,NA,7996.57446745731,13,0,24.72891497612,7,0,"block",200
"sigma_ou_11",1.08217146088878,NA,7996.57446745731,13,0,24.72891497612,7,0,"block",200
"sigma_ou_22",2.31881993906907,NA,7996.57446745731,13,0,24.72891497612,7,0,"block",200
"lambda_1",1.12750575390599,2.67806265163983e-06,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"lambda_2",1.70183427915238,-1.8112537425452e-06,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"lambda_3",0.408329155240911,-1.54746725655741e-07,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"lambda_4",-1.92461021902291,-2.08007109314678e-08,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_u_1",1.25163063875406,-5.69547746199772e-05,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_u_2",1.59670079967293,2.64758159317369e-05,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_u_3",1.48491744973533,-1.05715822004693e-05,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_u_4",0.971353125623003,-3.57532176298303e-06,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_e_1",0.621464454648514,1.25773262382722e-06,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_e_2",0.475369291246507,7.30076160859738e-07,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_e_3",0.404793584262624,-2.90482490727939e-07,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"sigma2_e_4",0.673541395936275,-3.1205070749607e-07,7996.56271569603,20,1,12.2932608127594,8,0,"block",200
"theta_ou_11",1.1558257359982,NA,7996.55486233906,12,0,22.2014589309692,8,0,"block",200
"theta_ou_21",-4.95880882411854,NA,7996.55486233906,12,0,22.2014589309692,8,0,"block",200
"theta_ou_12",-0.75758835357658,NA,7996.55486233906,12,0,22.2014589309692,8,0,"block",200
"theta_ou_22",6.39445193802132,NA,7996.55486233906,12,0,22.2014589309692,8,0,"block",200
"sigma_ou_11",1.08061199100289,NA,7996.55486233906,12,0,22.2014589309692,8,0,"block",200
"sigma_ou_22",2.30761402585002,NA,7996.55486233906,12,0,22.2014589309692,8,0,"block",200
"lambda_1",1.12847723488588,7.5670849922993e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"lambda_2",1.7031912682011,6.94597836226052e-06,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"lambda_3",0.408860409597043,-1.28613126104682e-06,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"lambda_4",-1.92474453732453,1.0908386376407e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_u_1",1.25157138679543,-4.99445479084093e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_u_2",1.59655149807983,2.95825327729649e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_u_3",1.48491433925792,-1.07648081770773e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_u_4",0.970577013630033,9.28764800400828e-07,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_e_1",0.621428597285226,4.65066487738142e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_e_2",0.475612586387293,-4.18605327450194e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_e_3",0.404649394778819,-1.29623505931153e-05,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"sigma2_e_4",0.678382267779057,-8.74619339863436e-06,7996.54965536281,19,1,11.8971481323242,9,0,"block",200
"theta_ou_11",1.1567444339072,NA,7996.5461732217,13,0,24.7964680194855,9,0,"block",200
"theta_ou_21",-4.9530174061105,NA,7996.5461732217,13,0,24.7964680194855,9,0,"block",200
"theta_ou_12",-0.759450273029461,NA,7996.5461732217,13,0,24.7964680194855,9,0,"block",200
"theta_ou_22",6.38396819352908,NA,7996.5461732217,13,0,24.7964680194855,9,0,"block",200
"sigma_ou_11",1.07943246453333,NA,7996.5461732217,13,0,24.7964680194855,9,0,"block",200
"sigma_ou_22",2.3002416933368,NA,7996.5461732217,13,0,24.7964680194855,9,0,"block",200
"lambda_1",1.12914030241613,6.27970948885448e-05,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"lambda_2",1.7041144412175,3.28779246672184e-06,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"lambda_3",0.409213480307957,-1.0104121256127e-05,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"lambda_4",-1.92486258650612,7.72150547656558e-06,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_u_1",1.25152816801958,-3.20877896937688e-05,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_u_2",1.59644171563635,2.16995161974598e-05,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_u_3",1.48491253498102,-7.07370479929859e-06,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_u_4",0.970060489138818,9.08342478012081e-07,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_e_1",0.621403396743236,2.86256033330545e-05,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_e_2",0.475785329702537,-2.66594198273795e-05,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_e_3",0.404555944009775,-1.64344062875688e-05,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"sigma2_e_4",0.681545270800311,-4.88764333717029e-06,7996.54385766007,19,1,11.8793411254883,10,0,"block",200
"theta_ou_11",1.15731810709826,NA,7996.54231454843,9,0,17.1178030967712,10,0,"block",200
"theta_ou_21",-4.9497236947816,NA,7996.54231454843,9,0,17.1178030967712,10,0,"block",200
"theta_ou_12",-0.760593444208,NA,7996.54231454843,9,0,17.1178030967712,10,0,"block",200
"theta_ou_22",6.37711834773209,NA,7996.54231454843,9,0,17.1178030967712,10,0,"block",200
"sigma_ou_11",1.07857389942464,NA,7996.54231454843,9,0,17.1178030967712,10,0,"block",200
"sigma_ou_22",2.29549782841409,NA,7996.54231454843,9,0,17.1178030967712,10,0,"block",200
